123					0
a		/ə; eɪ/	/ə; eɪ/	art. 一；任一；每一	0
a-bomb		/'ei,bɔm/	['ei,bɔm]	n. 原子弹（等于atomic bomb）	0
a-frame		/'eifreim/	['eifreim]	n. 金字顶式建筑物；A字形房屋	0
a-g				abbr. 常染色体分组序号（albumin-globulin ratio）	0
a-level		/'ei,levəl/	['ei,levəl]	n. （英国）中学高级水平考试	0
a-line				呈 A 字型的	0
a-list				n. 重要项目清单	0
a-ok		/'eiəu'kei/	['eiəu'kei]	adj. 一切正常的；极好， 完美的	0
a-side				n. A面（磁带等的）	0
a-z		/,eitə'zed/	[,eitə'zed]	adj. 所有，无所不包的	0
aa		/'ɑːɑː/	/,e 'e/	abbr. 汽车协会（Automobile Association）；嗜酒者互诫协会（Alcoholics Anonymous）；瘾君子互诫协会（Addicts Anonymous）；会计学准学士（Associate in Accounting）	0
aaa				abbr. 美国汽车协会（American Automobile Association）；美国仲裁协会（American Arbitration Association）；美国广告学会（American Academy of Advertising）；业余体育协会（Amateur Athletic Association）；美国人类学协会（American Anthropological Association）	0
aaaa				abbr. 美国广告代理商协会（The American Association of Advertising Agencies）	0
aaaaa				n. 五星级	0
aaas				abbr. 美国艺术和科学研究院（American Academy of Arts and Sciences）；美国科学发展协会（American Association for the Advancement of Science）	0
aac				abbr. 自动振幅控制（automatic ampltiude control）	0
aachen		/'ɑ:kən/	['ɑ:kən]	n. 亚琛（德国城市）	0
aad				abbr. 前方弹药库（Advanced Ammunition Depot）；原子吸收检测器（atomic absorption detector）	0
aaf				abbr. （美）陆军航空兵（Army Air Forces）；美国广告业联合会（American Advertising Federation）；防空火力（Antiaircraft Fire）	0
aag				abbr. 美国地理学家协会（Association of American Geographers）；高射炮（Anti-Aircraft Gun）	0
aah				先进攻击直升机（Advanced Attack Helicopter）；不典型增生改变；美国催眠治疗师学会（American Institute of Hypnotherapy）	0
aal				abbr. 绝对汇编语言（absolute assembly language）；对空探照灯（Anti-Aircraft Light）；北极航空医学实验室（Arctic Aeromedical Laboratory）	0
aaliyah				阿莉娅(人名)	0
aalto				阿尔托	0
aap				abbr. 阿波罗应用计划（Apollo Applications Program）；美国出版商协会（Association of American Publishers）	0
aar				abbr. 美国铁路协会（Association of American Railroads）；空中加油（Air-to-Air Refuelling）	0
aargh				啊（表示恐惧等强烈情感）	0
aaron				n. 亚伦（男子名）；亚伦（摩西之兄，犹太教的第一祭司长）	0
aaronson				n. (Aaronson)人名；(荷)阿龙松；(英)阿伦森	0
aarp				abbr. 美国退休者协会（American Association of Retired Persons）；Apple Talk地址转换协议（AppleTalk Address Resolution Protocol）	0
aars				abbr. Asian Association on Remote Sensing 亚洲遥感协会	0
aas				abbr. 原子吸收分光光度法（Atomic Absorption Spectroscopy）	0
aat				abbr. 防空坦克（Anti-Aircraft Tank）；平均存取时间（Average Access Time）；亚洲空运中心（Asia Airfeight Terminal）；加速老化试验（Accelerated Aging Test）	0
aau				abbr. （美国）业余体育联合会（Amateur Athletic Union）；美国大学联合会（Association of American Universities）；自动寻址单元（Automatic Addressing Unit）	0
aaup				abbr. 美国大学教授联合会（American Association of University Professors）；美国大学出版社协会（American Association of University Presses）	0
ab				abbr. 空运（airborne）	0
aba				abbr. 美国银行家协会（American Bankers Association）	0
ababa				n. (Ababa)人名；(塞)阿巴巴	0
abacavir				阿巴卡韦	0
aback		/ə'bæk/	/ə'bæk/	adv. 向后；处于顶风位置；向后地；吓了一跳	0
abaco				n. (Abaco)人名；(瑞典)阿巴科	0
abacus	专八	/'æbəkəs/	/'æbəkəs/	n. 算盘	0
abalone		/,æbə'ləʊnɪ/	/,æbə'loni/	n. [无脊椎] 鲍鱼	0
abandon	雅思	/əˈbændən/	/əˈbændən/	离弃；放弃	1
abandoned		/ə'bænd(ə)nd/	/ə'bændənd/	adj. 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的	0
abandoning				v. 放弃；屈服（abandon的现在分词）	0
abandonment		/ə'bændənm(ə)nt/	/ə'bændənmənt/	n. 抛弃；放纵	0
abashed		/ə'bæʃt/	/ə'bæʃt/	adj. 不安的；窘迫的；尴尬的	0
abasic				adj. 步行不能的	0
abate	专八	/ə'beɪt/	/ə'bet/	vt. 减轻；减少；废除	0
abatement		/ə'beɪtm(ə)nt/	/ə'betmənt/	n. 减少；消除；减轻	0
abates	专八	/əˈbeɪts/	/əˈbeɪts/	n. 双硫磷	0
abating	专八		/əˈbeɪtɪŋ/	n. 硬度降低	0
abattoir		/'æbətwɑː/	['æbətwɑː]	n. 屠宰场；角斗场	0
abb		/æb/	/æb/	n. 纬纱；横丝；等外羊毛	0
abba				n. 神父	0
abbado				n. (Abbado)人名；(意、英)阿巴多	0
abbas				n. 阿巴斯（地名，伊朗最大港口）；阿巴斯王朝	0
abbate		/ɑːb'bɑːteɪ/	[ɑːb'bɑːteɪ]	n. (意大利的)修道院院长；教士	0
abbaye				n. (Abbaye)人名；(法)阿贝	0
abbe				n. 神父，僧侣；男修道院院长	0
abbess		/'æbes/	/'æbɛs/	n. 女修道院院长；女庵主持	0
abbesses				女修道院院长（abbess 的复数）	0
abbey	六级	/'æbɪ/	/'æbi/	n. 大修道院，大寺院；修道院中全体修士或修女	0
abbie				n. 阿比（女子名）	0
abbot		/'æbət/	/'æbət/	n. 男修道院院长；大寺院男住持	0
abbott				n. 雅培（公司名）；阿尔伯特（人名）	0
abboud				n. (Abboud)人名；(英、阿拉伯)阿布德	0
abbr		eɪ biː biː ɑː(r)	eɪ biː biː ɑːr	缩写（abbreviated）	0
abbrev				abbr. 缩写（abbreviation）	0
abbreviate	专八	/ə'briːvɪeɪt/	/ə'brivɪ'et/	vt. 缩写，使省略；使简短	0
abbreviated	专八	/ə'briːvɪeɪtɪd/	/ə'brivɪ,etɪd/	adj. 简短的；小型的；服装超短的	0
abbreviation	专八	/əbriːvɪ'eɪʃ(ə)n/	/əˌbrivɪ'eʃən/	n. 缩写；缩写词	0
abbreviations	专八	/əˌbri:vɪˈeɪʃn/	/ə,brivɪ'eʃən/	n. [语] 缩写词，缩略语；[语] 缩写（abbreviation的复数）	0
abbs				abbr. 建筑论坛	0
abby				n. 艾比（女子名）	0
abc	专四	/,eɪ bi: 'si:/	/'e 'bi 'si/	n. 基础知识；字母表	0
abcd				abbr. 加快收寄投递系统（Accelerated Business Collection and Delivery）	0
abcs	专四	/ˌeɪ biː siː ˈes/		abbr. 陆军作战指挥系统（Army Battle Command System）；自动广播控制系统（Automatic Broadcast Control 	0
abd				abbr. 准博士（All But Dissertation）	0
abdallah				n. (Abdallah)人名；(坦桑、阿拉伯)阿卜杜拉	0
abdel				n. (Abdel)人名；(阿拉伯、哈萨、塔吉、吉尔、乌兹、阿塞、土库、乍、塞)阿卜杜勒	0
abdicate	专八	/'æbdɪkeɪt/	/'æbdɪket/	vi. 退位；放弃	0
abdication				n. 辞职；退位	0
abdomen	考研	/'æbdəmən; æb'dəʊmən/	/'æbdəmən/	n. 腹部	0
abdominal	专八	/æb'dɒmɪn(ə)l/	/æb'dɑmənl/	adj. 腹部的；有腹鳍的	0
abdominals				n. 腹肌（abdominal的复数）	0
abduct	专八	/əb'dʌkt/	/æb'dʌkt/	vt. 绑架；诱拐；使外展	0
abducted	专八		/æbˈdʌktɪd/	[法] 诱拐	0
abductee				n. 被绑架者	0
abduction		/əb'dʌkʃn/	/æb'dʌkʃən/	n. 诱拐，绑架；诱导	0
abductor				n. 诱拐者	0
abdul				n. 阿卜杜勒（人名）	0
abdullah				n. 阿布杜拉（人名）	0
abdurrahman				n. (Abdurrahman)人名；(土)阿卜杜勒-拉赫曼	0
abdus				n. (Abdus)人名；(阿拉伯)阿卜杜勒(后续部分以S开头)	0
abe				n. 亚伯（男子名，等于Abraham）	0
abecedarium				n. 入门书；初级读物	0
abed		/ə'bed/	/ə'bɛd/	adv. 在床上	0
abel		/'eibəl/	['eibəl]	n. 亚伯（亚当和夏娃的次子）；艾贝尔（男子名）	0
abelard				n. 阿伯拉德（法国哲学家、神学家）	0
abell				艾贝尔（英格兰人姓氏）	0
abelson				n. 阿贝尔森（姓氏）	0
abercrombie		/'æbə,krɒmbɪ/	/'æbə,krɑmbɪ/	n. 艾伯克龙比格子呢	0
aberdeen		/,æbə'di:n/	[,æbə'di:n]	n. 亚伯丁（英国苏格兰一郡 ）；苏格兰粗毛猎狐狗（等于Aberdeenterrier）	0
aberdeenshire				n. 阿伯丁郡（英国苏格兰原郡名）	0
aberfeldy				阿伯费尔迪（地名）	0
abergavenny				阿伯加文尼（地名）	0
aberlour				阿伯劳尔（英国地名）	0
abernathy				阿伯内西（苏格兰人姓氏）	0
abernethy		/,æbə'neθi/	[,æbə'neθi]	n. 硬饼干	0
aberrancy				n. 脱离正道，偏离常轨；反常	0
aberrant	专八	/ə'ber(ə)nt/	/æ'bɛrənt/	adj. 异常的；畸变的；脱离常轨的；迷乱的	0
aberrantly				adv. 反常地；异常地	0
aberration		/,æbə'reɪʃ(ə)n/	/'æbə'reʃən/	n. 失常；离开正路，越轨	0
aberrational				离开轨道的，越轨的，脱离常规的	0
aberrations				n. [光] 像差；[生物] 畸变；析光差；脱离常轨（aberration的复数形式）	0
aberystwyth				n. 阿伯里斯特威斯（英国威尔士西部自治市）	0
abet		/ə'bet/	/ə'bɛt/	vt. 煽动，教唆；支持	0
abets				n. 飞机信标电子试验装置	0
abeyance		/ə'beɪəns/	/ə'beəns/	n. 中止，停顿；归属待定，暂搁	0
abhor	专八	/əb'hɔː/	/əb'hɔr/	vt. 痛恨，憎恶	0
abhorrence		/əb'hɒr(ə)ns/	/əb'hɔrəns/	n. 痛恨，厌恶	0
abhorrent		/əb'hɒr(ə)nt/	/əb'hɔrənt/	adj. 可恶的；厌恶的；格格不入的	0
abhorring	专八	/əbˈhɔːrɪŋ/	/əbˈhɔːrɪŋ/	v. 憎恨（厌恶）	0
abi				abbr. 联合商业情报（Allied Business Intelligence）；英国保险业协会（The Association of British Insurers）；踝肱指数（Ankle Brachial Index）；应用系统二进制接口（application binary interfaces）	0
abidance		/ə'baɪdəns/	/ə'baɪdns/	n. 持续；遵守；居住	0
abide	专八	/ə'baɪd/	/ə'baɪd/	vt. 忍受，容忍；停留；遵守	0
abiding	专八	/ə'baɪdɪŋ/	/ə'baɪdɪŋ/	adj. 持久的，永久的；不变的	0
